City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max_Temp,Temp,Wind_Speed
jumla,np,0,1527813107,85,29.28,82.18,33.08,33.08,2.15
puerto ayora,ec,20,1527811200,73,-0.74,-90.35,75.2,75.2,13.87
busselton,au,80,1527813107,100,-33.64,115.35,55.22,55.22,3.6
arraial do cabo,br,0,1527813108,96,-22.97,-42.02,71.33,71.33,16.91
taolanaro,mg,,,,,,,,
hermanus,za,92,1527813108,98,-34.42,19.24,55.49,55.49,19.15
thessalon,ca,90,1527812100,88,46.26,-83.55,66.2,65.21,3.36
lorengau,pg,64,1527813108,100,-2.02,147.27,80.42,80.42,4.61
nenjiang,cn,32,1527813109,55,49.17,125.23,76.46,76.46,13.44
port alfred,za,0,1527813109,89,-33.59,26.89,61.7,61.7,12.66
saldanha,za,68,1527812989,84,41.42,-6.55,51.98,51.98,3.27
atuona,pf,8,1527813109,100,-9.8,-139.03,79.88,79.88,14.45
yellowknife,ca,20,1527811200,31,62.45,-114.38,50,50,8.05
port macquarie,au,40,1527811200,71,-31.43,152.91,57.2,57.2,14.99
souillac,mu,90,1527811200,93,45.6,-0.6,60.8,59.81,3.36
sisimiut,gl,92,1527813110,95,66.94,-53.67,32.81,32.81,17.02
iskateley,ru,20,1527813110,89,67.68,53.15,24.08,24.08,11.77
tasiilaq,gl,88,1527810600,97,65.61,-37.64,32,32,10.76
acapulco,mx,20,1527810540,70,16.86,-99.88,87.8,87.8,8.05
beringovskiy,ru,8,1527813111,95,63.05,179.32,34.79,34.79,7.85
asau,tv,,,,,,,,
qaanaaq,gl,44,1527813111,100,77.48,-69.36,30.65,30.65,3.04
kaitangata,nz,0,1527813061,75,-46.28,169.85,40.91,40.91,4.38
albany,au,90,1527811260,78,42.65,-73.75,73.4,71.6,9.17
lolua,tv,,,,,,,,
mirnyy,ru,0,1527813112,66,56.57,36.46,39.2,39.2,8.75
tuktoyaktuk,ca,75,1527811200,75,69.44,-133.03,51.8,48.07,5.82
grand gaube,mu,40,1527807600,68,-20.01,57.66,71.6,71.6,4.7
nizhniy tsasuchey,ru,0,1527813113,83,50.52,115.13,74.48,74.48,4.72
aparecida do taboado,br,0,1527813113,76,-20.08,-51.1,68.63,68.63,3.38
karaul,ru,,,,,,,,
barrow,us,24,1527813113,75,-38.31,-60.23,44.15,44.15,8.86
belushya guba,ru,,,,,,,,
auki,sb,0,1527813114,82,12.18,6.51,74.93,74.93,5.95
sitka,us,0,1527813114,56,37.17,-99.65,86.09,86.09,10.42
quatre cocos,mu,40,1527807600,68,-20.21,57.76,71.6,71.6,4.7
ribeira grande,pt,68,1527813000,96,38.52,-28.7,68.09,68.09,14.56
college,us,90,1527811080,66,64.86,-147.8,60.8,58.48,6.93
butaritari,ki,68,1527813115,100,3.07,172.79,82.31,82.31,14.56
chuy,uy,92,1527813115,98,-33.69,-53.46,59.99,59.99,17.81
huarmey,pe,0,1527813115,81,-10.07,-78.15,61.52,61.52,3.04
tsihombe,mg,,,,,,,,
gusau,ng,0,1527813116,82,12.17,6.66,74.93,74.93,5.95
port lincoln,au,68,1527813116,96,-34.72,135.86,55.76,55.76,14.45
iqaluit,ca,75,1527811920,74,63.75,-68.52,28.4,28.4,12.75
sentyabrskiy,ru,,,,,,,,
saint-philippe,re,90,1527811200,65,45.36,-73.48,77,76.53,16.11
grand centre,ca,,,,,,,,
rikitea,pf,0,1527813117,100,-23.12,-134.97,76.1,76.1,3.6
castro,cl,20,1527813117,100,-42.48,-73.76,38.21,38.21,6.29
sambava,mg,80,1527813118,100,-14.27,50.17,73.85,73.85,15.01
sao joao da barra,br,0,1527807600,88,-21.64,-41.05,69.8,69.8,4.7
mataura,pf,0,1527813118,78,-46.19,168.86,38.84,38.84,4.16
barentsburg,sj,,,,,,,,
ushuaia,ar,20,1527811200,70,-54.81,-68.31,42.8,42.8,17.22
pisco,pe,0,1527811200,88,-13.71,-76.2,64.4,64.4,9.17
bluff,nz,12,1527813120,57,-23.58,149.07,56.93,56.93,6.96
jamestown,sh,32,1527812981,85,-33.21,138.6,45.32,45.32,5.73
byron bay,au,0,1527811200,42,-28.65,153.62,64.4,64.4,12.75
kahului,us,40,1527810960,58,20.89,-156.47,82.4,79.29,20.8
mahebourg,mu,40,1527807600,68,-20.41,57.7,71.6,71.6,4.7
batouri,cm,76,1527813121,93,4.44,14.36,70.43,70.43,7.07
nikolskoye,ru,40,1527811200,60,59.7,30.79,42.8,42.8,2.24
dien bien,vn,,,,,,,,
praia da vitoria,pt,20,1527811200,93,38.73,-27.07,66.2,66.2,16.46
rocha,uy,92,1527813122,97,-34.48,-54.34,53.15,53.15,17.69
thompson,ca,90,1527811200,65,55.74,-97.86,46.4,46.4,9.17
oranjemund,na,44,1527812861,100,-28.55,16.43,58.55,58.55,19.15
lebu,cl,8,1527813122,96,8.96,38.73,51.44,51.44,2.82
punta arenas,cl,40,1527811200,70,-53.16,-70.91,42.8,42.8,24.16
bredasdorp,za,92,1527811200,72,-34.53,20.04,59,59,21.92
chkalovsk,tj,75,1527811200,59,56.76,43.24,37.4,37.4,11.18
tumannyy,ru,,,,,,,,
carnarvon,au,0,1527813123,73,-30.97,22.13,35.6,35.6,14.67
boma,cd,48,1527813123,89,11.23,4.46,79.07,79.07,2.71
zhigalovo,ru,8,1527812982,62,54.81,105.15,64.4,64.4,5.17
camacha,pt,75,1527811200,88,33.08,-16.33,66.2,65.43,12.75
faanui,pf,68,1527813124,100,-16.48,-151.75,81.68,81.68,10.76
tomatlan,mx,88,1527813124,85,19.93,-105.25,80.6,80.6,3.27
wanxian,cn,88,1527813124,99,30.8,108.39,61.25,61.25,3.15
hami,cn,0,1527813125,41,42.84,93.51,62.6,62.6,2.15
tabas,ir,12,1527813125,29,33.6,56.92,64.67,64.67,2.59
bengkulu,id,,,,,,,,
magistralnyy,ru,68,1527813125,58,56.17,107.45,66.2,66.2,2.59
bargal,so,,,,,,,,
husavik,is,20,1527813126,70,50.56,-96.99,64.85,64.85,13.22
nuuk,gl,92,1527810600,94,64.17,-51.74,41,41,46.08
bambous virieux,mu,40,1527807600,68,-20.34,57.76,71.6,71.6,4.7
inhambane,mz,0,1527813126,100,-23.87,35.38,69.62,69.62,11.65
kushima,jp,75,1527811200,77,31.5,131.29,69.8,67.89,2.24
avarua,ck,75,1527811200,78,-21.21,-159.78,78.8,78.8,5.82
hobart,au,75,1527811200,70,-42.88,147.33,48.2,48.2,11.41
esperance,au,40,1527811200,88,10.24,-61.45,78.8,78.8,11.41
teguise,es,75,1527811200,68,29.06,-13.56,66.2,66.2,16.11
nishihara,jp,40,1527811200,41,35.74,139.53,75.2,74.28,16.11
okhotsk,ru,8,1527813128,55,59.36,143.24,54.77,54.77,3.6
tiksi,ru,48,1527813128,100,71.64,128.87,30.65,30.65,4.5
ust-ishim,ru,68,1527813128,89,57.69,71.17,49.91,49.91,11.77
port elizabeth,za,90,1527812040,94,39.31,-74.98,78.8,73.09,5.82
cururupu,br,20,1527813129,90,-1.82,-44.87,75.65,75.65,4.61
sistranda,no,75,1527810600,87,63.73,8.83,55.4,55.4,6.93
kapaa,us,75,1527810960,78,22.08,-159.32,78.8,78.8,21.92
luzhou,cn,100,1527813129,98,28.89,105.45,66.74,66.74,3.6
saskylakh,ru,80,1527812995,94,71.97,114.09,38.75,38.75,15.9
vaini,to,76,1527813130,96,15.34,74.49,75.38,75.38,2.37
dikson,ru,76,1527813130,100,73.51,80.55,24.53,24.53,4.38
torbay,ca,90,1527811200,100,47.66,-52.73,35.6,35.6,18.34
juegang,cn,0,1527813130,94,32.31,121.18,67.37,67.37,4.72
norman wells,ca,75,1527811200,26,65.28,-126.83,71.6,71.6,9.17
aklavik,ca,75,1527811620,39,68.22,-135.01,66.2,58.03,16.11
davidson,ca,40,1527813300,100,35.5,-80.85,75.2,70.88,3.36
mayo,ca,75,1527811200,36,63.59,-135.9,62.6,62.6,12.75
funtua,ng,8,1527813132,81,11.52,7.31,72.86,72.86,2.82
pacific grove,us,75,1527811260,59,36.62,-121.92,66.2,63.1,11.41
marawi,sd,76,1527813132,100,8,124.29,72.32,72.32,3.15
broome,au,76,1527812400,100,52.47,1.45,60.8,58.62,3.36
high rock,bs,75,1527807600,74,26.63,-78.28,82.4,82.4,3.36
okha,ru,0,1527813133,61,53.59,142.95,58.64,58.64,10.76
